AD,Full-flowering date (DOY),Full-flowering date,Source code,Data type code,Reference Name
801,,,,,-
802,,,,,-
803,,,,,-
804,,,,,-
805,,,,,-
806,,,,,-
807,,,,,-
808,,,,,-
809,,,,,-
810,,,,,-
811,,,,,-
812,92,401,1,2,NIHON-KOKI
813,,,,,-
814,,,,,-
815,105,415,1,2,NIHON-KOKI
816,,,,,-
817,,,,,-
818,,,,,-
819,,,,,-
820,,,,,-
821,,,,,-
822,,,,,-
823,,,,,-
824,,,,,-
825,,,,,-
826,,,,,-
827,,,,,-
828,,,,,-
829,,,,,-
830,,,,,-
831,96,406,1,2,NIHON-KOKI
832,,,,,-
833,,,,,-
834,,,,,-
835,,,,,-
836,,,,,-
837,,,,,-
838,,,,,-
839,,,,,-
840,,,,,-
841,,,,,-
842,,,,,-
843,,,,,-
844,,,,,-
845,,,,,-
846,,,,,-
847,,,,,-
848,,,,,-
849,,,,,-
850,,,,,-
851,108,418,1,2,MONTOKUTENNO-JITSUROKU
852,,,,,-
853,104,414,1,2,MONTOKUTENNO-JITSUROKU
854,,,,,-
855,,,,,-
856,,,,,-
857,,,,,-
858,,,,,-
859,,,,,-
860,,,,,-
861,,,,,-
862,,,,,-
863,,,,,-
864,100,409,1,2,NIPPON-SANDAI-JITSUROKU
865,,,,,-
866,106,416,1,2,NIPPON-SANDAI-JITSUROKU
867,,,,,-
868,,,,,-
869,95,405,5,2,KANKE-BUNSOU
870,,,,,-
871,,,,,-
872,,,,,-
873,,,,,-
874,,,,,-
875,,,,,-
876,,,,,-
877,,,,,-
878,,,,,-
879,,,,,-
880,,,,,-
881,,,,,-
882,,,,,-
883,,,,,-
884,,,,,-
885,,,,,-
886,,,,,-
887,,,,,-
888,,,,,-
889,104,414,5,2,NIPPON-SANDAI-JITSUROKU
890,,,,,-
891,109,419,5,4,NIHONKIRYAKU
892,108,417,5,3,FUSHIMIIN-GOKIROKKU
893,,,,,-
894,106,416,5,2,KANKE-BUNSOU
