,woman,district,use.contraception,living.children,age.centered,urban
0,1,1,0,4,18.44,1
1,2,1,0,1,-5.5599,1
2,3,1,0,3,1.44,1
3,4,1,0,4,8.44,1
4,5,1,0,1,-13.559,1
5,6,1,0,1,-11.56,1
6,7,1,0,4,18.44,1
7,8,1,0,4,-3.5599,1
8,9,1,0,2,-5.5599,1
9,10,1,0,4,1.44,1
10,11,1,1,1,-11.56,1
11,12,1,0,1,-2.5599,1
12,13,1,0,2,-4.5599,1
13,14,1,0,4,5.44,1
14,15,1,0,4,-0.5599,1
15,16,1,1,4,4.44,1
16,17,1,0,1,-5.5599,1
17,18,1,1,4,-0.5599,1
18,19,1,1,2,-6.5599,1
19,20,1,0,3,-3.56,1
20,21,1,0,1,-4.5599,1
21,22,1,0,1,-9.5599,1
22,23,1,0,4,2.44,1
23,24,1,1,3,2.44,1
24,25,1,1,2,-4.5599,1
25,26,1,0,4,14.44,1
26,27,1,1,1,-6.5599,1
27,28,1,1,2,-3.5599,1
28,29,1,1,2,-5.5599,1
29,30,1,1,2,-1.5599,1
30,31,1,0,3,-6.5599,1
31,32,1,1,3,-2.5599,1
32,33,1,0,3,-7.5599,1
33,34,1,0,1,9.44,1
34,35,1,0,4,8.44,1
35,36,1,0,4,14.44,1
36,37,1,1,4,8.44,1
37,38,1,0,4,6.44,1
38,39,1,0,3,-3.56,1
39,40,1,1,4,-5.5599,1
40,41,1,0,4,14.44,1
41,42,1,0,4,2.44,1
42,43,1,0,2,-10.559,1
43,44,1,0,4,5.44,1
44,45,1,1,2,-7.5599,1
45,46,1,1,3,-4.5599,1
46,47,1,1,4,-1.5599,1
47,48,1,0,2,-11.559,1
48,49,1,1,4,1.44,1
49,50,1,1,3,11.44,1
50,51,1,0,1,-12.559,1
51,52,1,1,3,-2.5599,1
52,53,1,0,1,-3.5599,1
53,54,1,1,1,-4.5599,1
54,55,1,1,3,-7.5599,1
55,56,1,1,2,8.44,1
56,57,1,1,3,-5.5599,1
57,58,1,0,4,7.44,1
58,59,1,0,2,-6.5599,1
59,60,1,0,1,-11.56,1
60,61,1,0,4,15.44,1
61,62,1,0,3,-4.5599,1
62,63,1,0,3,-3.56,1
63,64,1,0,4,11.44,0
64,65,1,0,4,-4.5599,0
65,66,1,0,4,10.44,0
66,67,1,0,4,4.44,0
67,68,1,0,4,-3.5599,0
68,69,1,0,1,-12.559,0
69,70,1,0,3,-7.5599,0
70,71,1,0,1,-13.559,0
71,72,1,0,4,3.44,0
72,73,1,0,3,19.44,0
73,74,1,0,3,-7.5599,0
74,75,1,0,3,1.44,0
75,76,1,0,1,-4.5599,0
76,77,1,0,1,-7.5599,0
77,78,1,0,4,-1.5599,0
78,79,1,0,4,2.44,0
79,80,1,0,4,8.44,0
80,81,1,0,4,8.44,0
81,82,1,0,1,-9.5599,0
82,83,1,1,4,8.44,0
83,84,1,0,4,7.44,0
84,85,1,0,4,5.44,0
85,86,1,1,4,2.44,0
86,87,1,0,1,-4.5599,0
87,88,1,0,4,0.44,0
88,89,1,0,4,11.44,0
89,90,1,1,4,-3.5599,0
90,91,1,0,1,5.44,0
91,92,1,0,4,-1.5599,0
92,93,1,0,3,-7.5599,0
93,94,1,1,4,5.44,0
94,95,1,0,2,6.44,0
95,96,1,1,4,0.44,0
96,97,1,1,4,10.44,0
97,98,1,1,4,7.44,0
98,99,1,0,2,-11.559,0
99,100,1,0,3,10.44,0
100,101,1,0,4,2.44,0
101,102,1,0,3,-3.5599,0
102,103,1,0,4,0.44,0
103,104,1,0,4,16.44,0
104,105,1,0,2,4.44,0
105,106,1,0,4,12.44,0
106,107,1,0,4,8.44,0
107,108,1,0,4,18.44,0
108,109,1,0,1,-13.559,0
109,110,1,0,2,-11.559,0
110,111,1,0,1,-2.56,0
111,112,1,0,1,-5.5599,0
112,113,1,0,3,3.44,0
113,114,1,0,1,-1.5599,0
114,115,1,0,4,3.44,0
115,116,1,0,4,-1.5599,0
116,117,1,0,3,11.44,0
117,118,2,0,4,-1.5599,0
118,119,2,0,3,-5.5599,0
119,120,2,0,1,-13.559,0
120,121,2,1,3,-5.5599,0
121,122,2,0,4,19.44,0
122,123,2,1,4,1.44,0
123,124,2,1,2,-2.56,0
124,125,2,1,3,6.44,0
125,126,2,0,3,-5.5599,0
126,127,2,1,4,7.44,0
127,128,2,0,4,1.44,0
128,129,2,0,3,0.44,0
129,130,2,0,1,-11.559,0
130,131,2,0,4,10.44,0
131,132,2,0,1,-7.56,0
132,133,2,1,3,-2.5599,0
133,134,2,0,1,-13.559,0
134,135,2,1,3,-2.5599,0
135,136,2,0,3,1.44,0
136,137,2,0,2,-11.559,0
137,138,3,1,4,-3.5599,1
138,139,3,1,1,-8.5599,1
139,140,4,1,2,-6.5599,1
140,141,4,1,4,2.44,1
141,142,4,1,3,-1.5599,1
142,143,4,0,1,-3.5599,1
143,144,4,1,4,4.44,1
144,145,4,1,3,7.44,1
145,146,4,1,4,7.44,1
146,147,4,1,4,-0.5599,1
147,148,4,1,2,-10.559,1
148,149,4,1,2,-3.5599,1
149,150,4,1,4,2.44,1
150,151,4,0,3,-2.5599,0
151,152,4,1,2,-4.5599,0
152,153,4,0,1,-4.5599,0
153,154,4,0,4,14.44,0
154,155,4,0,4,16.44,0
155,156,4,0,4,6.44,0
156,157,4,0,4,-1.5599,0
157,158,4,1,2,1.44,0
158,159,4,0,4,2.44,0
159,160,4,0,4,13.44,0
160,161,4,0,4,16.44,0
161,162,4,1,4,-0.5599,0
162,163,4,1,4,8.44,0
163,164,4,1,4,2.44,0
164,165,4,0,1,-10.559,0
165,166,4,0,3,-1.5599,0
166,167,4,0,2,-11.559,0
167,168,4,0,3,-9.5599,0
168,169,4,0,1,-7.5599,0
169,170,5,0,1,-13.56,1
170,171,5,1,4,2.44,1
171,172,5,0,2,-4.5599,0
172,173,5,0,4,3.44,0
173,174,5,0,1,-13.559,0
174,175,5,1,3,-4.5599,0
175,176,5,0,1,-11.559,0
176,177,5,1,1,-11.559,0
177,178,5,1,2,-6.5599,0
178,179,5,0,4,13.44,0
179,180,5,1,1,-11.559,0
180,181,5,0,1,-10.559,0
181,182,5,0,1,-10.559,0
182,183,5,0,4,16.44,0
183,184,5,0,1,-3.56,0
184,185,5,0,4,-2.5599,0
185,186,5,0,4,16.44,0
186,187,5,1,4,7.44,0
187,188,5,0,1,-10.559,0
188,189,5,0,4,0.44,0
189,190,5,1,4,6.44,0
190,191,5,0,4,2.44,0
191,192,5,0,1,-9.5599,0
192,193,5,1,3,-8.56,0
193,194,5,1,4,14.44,0
194,195,5,1,4,1.44,0
195,196,5,1,3,-4.5599,0
196,197,5,0,4,-4.5599,0
197,198,5,0,3,-7.5599,0
198,199,5,1,3,-5.5599,0
199,200,5,1,1,-8.5599,0
200,201,5,0,1,-12.56,0
201,202,5,0,4,-1.5599,0
202,203,5,0,4,-1.5599,0
203,204,5,0,4,18.44,0
204,205,5,0,3,17.44,0
205,206,5,1,4,-0.5599,0
206,207,5,0,4,11.44,0
207,208,5,0,4,13.44,0
208,209,6,1,1,-0.5599,1
209,210,6,1,2,-4.5599,1
210,211,6,1,4,-0.5599,1
