,age,yes,n
0,18,100,200
1,19,86,153
2,20,64,128
3,21,85,172
4,22,96,182
5,23,128,229
6,24,123,229
7,25,148,263
8,26,121,222
9,27,140,249
10,28,141,253
11,29,113,229
12,30,166,295
13,31,154,276
14,32,177,307
15,33,200,335
16,34,181,306
17,35,156,273
18,36,165,292
19,37,160,269
20,38,181,328
21,39,157,278
22,40,234,431
23,41,173,289
24,42,211,379
25,43,187,313
26,44,173,331
27,45,245,420
28,46,206,360
29,47,222,372
30,48,193,328
31,49,212,377
32,50,233,423
33,51,183,313
34,52,188,345
35,53,147,309
36,54,176,325
37,55,170,316
38,56,140,300
39,57,174,323
40,58,124,255
41,59,122,246
42,60,128,290
43,61,112,209
44,62,99,246
45,63,75,200
46,64,74,178
47,65,103,259
48,66,53,164
49,67,43,168
50,68,67,174
51,69,45,136
52,70,58,198
53,71,42,136
54,72,48,176
55,73,33,145
56,74,35,127
57,75,38,142
58,76,36,118
59,77,17,122
60,78,19,99
61,79,10,75
62,80,18,130
63,81,17,75
64,82,19,87
65,83,9,68
66,84,6,58
67,85,5,50
68,86,4,40
69,87,1,23
70,88,5,23
71,89,0,19
72,90,4,18
