,home,favorite,underdog,spread,favorite_name,underdog_name,week,diff
21,0,17,23,7.0,LAN,NO,2,-6
24,1,28,23,7.0,SD,DET,2,5
35,1,35,23,7.0,LAN,GB,3,12
37,1,20,10,7.0,LAA,SEA,3,10
56,1,23,17,7.0,BUF,IND,5,6
74,1,27,21,7.0,DEN,DET,6,6
76,1,35,17,7.0,HOU,SEA,6,18
82,1,31,33,7.0,SD,MIN,6,-2
89,1,13,10,7.0,MIA,WAS,7,3
101,1,42,28,7.0,CLE,IND,8,14
154,1,20,17,7.0,BUF,NE,12,3
157,1,24,10,7.0,DAL,WAS,12,14
160,1,40,13,7.0,KC,SEA,12,27
173,1,23,35,7.0,MIN,GB,13,-12
207,1,28,6,7.0,SF,HOU,15,22
228,1,10,14,7.0,PIT,DEN,1,-4
254,1,27,12,7.0,WAS,KC,3,15
267,1,30,13,7.0,BUF,HOU,4,17
278,1,24,30,7.0,SD,CLE,4,-6
296,0,38,14,7.0,WAS,PHX,6,24
326,1,38,17,7.0,WAS,DET,8,21
345,0,38,20,7.0,DAL,NYG,9,18
348,1,21,34,7.0,LAA,SEA,9,-13
358,1,12,17,7.0,MIN,TB,10,-5
359,1,21,14,7.0,LAN,CHI,10,7
374,1,22,20,7.0,LAA,DEN,11,2
384,1,14,17,7.0,PIT,MIN,12,-3
465,1,37,7,7.0,PHX,BUF,2,30
470,1,17,13,7.0,NO,TB,2,4
473,1,28,7,7.0,LAA,GB,2,21
528,1,13,3,7.0,CIN,HOU,6,10
565,1,16,7,7.0,CHI,MIN,9,9
576,1,7,19,7.0,DAL,NYG,10,-12
585,0,31,17,7.0,MIA,NYJ,10,14
603,0,50,17,7.0,NE,IND,12,33
609,0,10,16,7.0,WAS,PHA,12,-6
610,1,16,14,7.0,CHI,DET,12,2
621,1,28,27,7.0,NYG,KC,13,1
635,0,20,23,7.0,PIT,HOU,14,-3
642,1,34,21,7.0,LAN,NO,14,13
644,1,21,17,7.0,NYJ,BUF,15,4
646,1,23,20,7.0,PIT,CLE,15,3
656,1,16,13,7.0,DEN,SD,15,3
657,0,24,3,7.0,LAA,DET,15,21
681,1,38,28,7.0,CHI,TB,1,10
708,1,20,7,7.0,DAL,CLE,3,13
713,1,24,35,7.0,SEA,LAN,3,-11
716,1,43,28,7.0,PHX,GB,4,15
832,1,23,30,7.0,MIN,NO,12,-7
852,0,34,24,7.0,LAA,ATL,13,10
863,0,35,14,7.0,NYG,HOU,14,21
880,1,20,14,7.0,SD,PHA,15,6
884,0,27,16,7.0,WAS,PHX,16,11
885,1,37,10,7.0,NYJ,CLE,16,27
887,0,37,17,7.0,CHI,DET,16,20
959,0,34,28,7.0,CIN,GB,5,6
977,1,35,3,7.0,NYG,PHA,6,32
978,1,24,31,7.0,NE,NYJ,6,-7
981,1,14,10,7.0,LAN,DET,7,4
991,0,34,0,7.0,NE,PIT,7,34
1019,1,44,38,7.0,WAS,MIN,9,6
1036,0,13,10,7.0,CHI,ATL,11,3
1058,1,31,17,7.0,HOU,IND,12,14
1066,1,13,10,7.0,CLE,HOU,13,3
1089,1,27,0,7.0,SD,HOU,14,27
1104,0,10,23,7.0,MIN,HOU,15,-13
1114,1,52,21,7.0,CIN,NYJ,16,31
1175,1,27,30,7.0,DEN,LAA,4,-3
1180,1,27,41,7.0,LAN,PHX,5,-14
1192,0,24,7,7.0,CHI,DET,6,17
1205,1,17,7,7.0,CHI,DAL,7,10
1235,1,28,0,7.0,BUF,GB,9,28
1240,0,13,10,7.0,NYG,DET,9,3
1275,0,27,15,7.0,CHI,TB,12,12
1280,1,9,6,7.0,BUF,NYJ,12,3
1320,1,17,24,7.0,WAS,DAL,15,-7
1331,1,20,17,7.0,CIN,WAS,16,3
1343,1,28,27,7.0,MIN,CHI,16,1
1366,1,38,24,7.0,CLE,NYJ,2,14
1368,1,24,34,7.0,SEA,PHX,2,-10
1374,0,47,27,7.0,CHI,DET,3,20
1386,1,23,21,7.0,GB,ATL,4,2
1391,1,39,7,7.0,HOU,MIA,4,32
1392,1,31,10,7.0,BUF,NE,4,21
1393,0,30,13,7.0,NYG,DAL,4,17
1405,1,31,13,7.0,GB,DAL,5,18
1408,1,16,20,7.0,SEA,KC,5,-4
1412,1,16,10,7.0,DEN,SD,5,6
1416,1,28,33,7.0,CHI,HOU,6,-5
1436,1,21,40,7.0,LAN,NO,7,-19
1438,1,34,3,7.0,BUF,NYJ,7,31
1442,1,20,13,7.0,NO,ATL,8,7
1473,1,24,20,7.0,PHX,DAL,10,4
1485,1,42,7,7.0,CIN,DET,11,35
1487,1,10,10,7.0,CLE,KC,11,0
1541,0,37,0,7.0,DEN,PHX,15,37
1554,0,37,0,7.0,BUF,NYJ,16,37
1560,0,20,10,7.0,GB,DAL,16,10
1564,0,24,20,7.0,LAN,NE,16,4
1605,1,20,3,7.0,NYG,MIA,3,17
1620,0,38,10,7.0,WAS,PHX,4,28
1629,1,27,34,7.0,MIN,DET,5,-7
1650,1,44,24,7.0,LAN,ATL,7,20
1688,1,35,7,7.0,NO,TB,10,28
1693,1,16,29,7.0,LAA,GB,10,-13
1724,0,37,7,7.0,KC,NE,13,30
1767,1,42,7,7.0,NYJ,NE,16,35
1769,1,27,14,7.0,CHI,TB,16,13
1773,1,17,3,7.0,PHA,DAL,16,14
1796,1,14,3,7.0,KC,ATL,1,11
1801,1,14,24,7.0,LAN,PHX,1,-10
1803,1,35,31,7.0,BUF,MIA,1,4
1811,1,52,34,7.0,BUF,PIT,2,18
1813,1,13,19,7.0,NYG,LAN,2,-6
1857,1,31,3,7.0,SEA,IND,5,28
1877,1,34,7,7.0,MIN,PHX,7,27
1884,0,23,26,7.0,MIN,NE,8,-3
1892,1,35,3,7.0,SF,DET,8,32
1911,1,19,16,7.0,NYJ,GB,10,3
1920,0,34,24,7.0,BUF,GB,11,10
1928,0,21,14,7.0,NYG,PHX,11,7
1945,0,41,14,7.0,WAS,PIT,12,27
1951,1,14,10,7.0,GB,IND,13,4
1970,0,24,27,7.0,NYG,CIN,14,-3
2049,1,26,20,7.0,MIN,TB,3,6
2067,1,27,7,7.0,KC,LAA,4,20
2085,1,31,21,7.0,NYG,PHX,6,10
2100,0,19,0,7.0,LAA,SEA,7,19
